Coin,price,24h_volume,Market_Cap
Bitcoin,"$23,141.02","$39,115,387,559","$446,059,143,473"
Ethereum,"$1,583.40","$11,243,353,214","$190,861,063,873"
Tether,$1.00,"$48,736,340,945","$67,859,888,222"
USD Coin,$1.00,"$3,218,021,886","$42,914,604,371"
BNB,$309.02,"$780,437,008","$41,721,561,081"
XRP,$0.400977,"$1,299,636,953","$20,387,983,857"
Binance USD,$1.00,"$11,255,979,261","$15,385,014,859"
Cardano,$0.381026,"$392,731,709","$13,357,662,106"
Dogecoin,$0.088203166693,"$1,003,374,179","$12,120,787,608"
Polygon,$1.12,"$584,924,038","$10,069,784,157"
OKB,$37.54,"$31,255,495","$9,254,848,223"
Solana,$24.30,"$1,373,839,986","$9,029,588,899"
Lido Staked Ether,"$1,581.55","$38,305,988","$7,921,219,688"
Polkadot,$6.27,"$257,946,545","$7,521,235,093"
Shiba Inu,$0.000011667194,"$343,918,021","$6,888,113,263"
Litecoin,$92.14,"$882,284,709","$6,656,784,699"
Avalanche,$20.93,"$673,175,875","$6,548,977,099"
TRON,$0.063251535920,"$392,852,591","$5,805,771,989"
Dai,$1.00,"$216,276,623","$5,122,702,512"
Uniswap,$6.63,"$121,870,831","$5,000,055,116"
Wrapped Bitcoin,"$23,132.28","$174,178,216","$4,079,511,373"
Cosmos Hub,$13.25,"$200,802,308","$3,881,627,372"
Toncoin,$2.35,"$39,284,625","$3,466,141,500"
Chainlink,$7.05,"$319,473,479","$3,463,613,292"
LEO Token,$3.57,"$724,738","$3,327,478,985"
Monero,$180.07,"$98,510,888","$3,264,678,295"
Ethereum Classic,$21.74,"$260,252,244","$3,027,792,907"
Aptos,$17.44,"$1,387,447,486","$2,820,604,301"
Bitcoin Cash,$131.84,"$535,069,978","$2,543,459,368"
Stellar,$0.091939921282,"$64,541,080","$2,418,039,296"
ApeCoin,$5.92,"$225,585,997","$2,186,011,777"
Quant,$143.38,"$38,020,434","$2,089,905,779"
NEAR Protocol,$2.38,"$185,101,339","$2,031,284,825"
Cronos,$0.078852905590,"$24,749,749","$1,991,385,536"
Filecoin,$5.15,"$188,902,797","$1,929,856,913"
Algorand,$0.246262,"$92,620,656","$1,773,631,133"
Lido DAO,$2.07,"$121,179,011","$1,739,581,351"
VeChain,$0.023561649936,"$73,204,517","$1,709,497,943"
Internet Computer,$5.88,"$56,952,730","$1,677,440,497"
Hedera,$0.065671506537,"$42,200,976","$1,664,221,448"
Decentraland,$0.749573,"$309,647,407","$1,361,852,220"
Axie Infinity,$11.23,"$240,591,123","$1,289,237,391"
Fantom,$0.479581,"$439,238,176","$1,215,568,314"
Aave,$82.50,"$97,080,850","$1,177,422,604"
EOS,$1.08,"$129,557,048","$1,176,419,822"
The Sandbox,$0.740191,"$268,850,739","$1,171,899,128"
MultiversX,$43.10,"$28,549,319","$1,077,598,862"
Flow,$1.00,"$51,601,304","$1,051,704,912"
Theta Network,$1.04,"$33,119,986","$1,039,687,794"
Frax,$1.00,"$14,226,641","$1,024,387,140"
Terra Luna Classic,$0.000170107892,"$83,394,683","$1,017,557,637"
Tezos,$1.09,"$40,543,965","$1,001,200,297"
Pax Dollar,$1.00,"$1,857,777","$968,979,019"
TrueUSD,$1.00,"$56,206,797","$944,775,301"
Huobi,$5.11,"$9,277,916","$828,097,629"
Bitcoin SV,$42.47,"$20,196,259","$818,820,283"
KuCoin,$8.30,"$1,385,142","$807,523,938"
The Graph,$0.089557140103,"$50,506,776","$793,852,842"
Frax Share,$10.21,"$23,279,728","$748,706,395"
Curve DAO,$1.02,"$74,487,729","$745,337,306"
Chiliz,$0.136415,"$182,937,813","$729,421,217"
Rocket Pool,$38.00,"$8,004,842","$727,067,097"
USDD,$0.993121,"$21,187,195","$719,703,414"
Synthetix Network,$2.29,"$39,483,542","$717,877,848"
Trust Wallet,$1.70,"$126,854,993","$706,736,677"
BitTorrent,$0.000000729215,"$15,466,851","$697,496,215"
eCash,$0.000035855149,"$17,369,173","$691,624,244"
PancakeSwap,$4.02,"$52,849,578","$665,437,016"
Dash,$59.58,"$207,063,914","$662,674,204"
BitDAO,$0.549520,"$21,017,204","$640,188,876"
Klaytn,$0.206657,"$31,685,905","$639,161,002"
IOTA,$0.228706,"$15,868,728","$637,247,770"
Gate,$4.38,"$856,274","$635,729,335"
Mina Protocol,$0.770444,"$251,530,375","$633,663,605"
Maker,$652.48,"$20,021,117","$589,579,297"
NEO,$8.33,"$63,952,801","$587,096,066"
Zcash,$45.22,"$72,366,226","$586,171,231"
cUSDC,$0.022748935279,$2.89,"$580,924,980"
Gemini Dollar,$1.00,"$299,891","$573,011,480"
cDAI,$0.022155041614,"$30,020.12","$555,004,878"
OKC,$30.71,"$6,138,312","$548,024,227"
THORChain,$1.80,"$100,318,055","$542,489,497"
ImmutableX,$0.675894,"$39,944,588","$538,235,206"
Radix,$0.052641892596,"$1,349,498","$531,063,509"
Tokenize Xchange,$6.62,"$9,594,434","$529,684,307"
Arweave,$10.30,"$50,252,983","$515,903,540"
PAX Gold,"$1,910.84","$11,410,497","$512,948,391"
Osmosis,$0.977034,"$32,880,644","$512,436,521"
BTSE Token,$3.15,"$541,780","$510,339,628"
GMX,$59.85,"$55,757,808","$505,489,112"
Flare,$0.045900083251,"$37,002,743","$504,496,203"
Tether Gold,"$1,920.02","$1,132,917","$472,531,369"
NEXO,$0.828819,"$7,068,081","$464,197,990"
Optimism,$2.15,"$342,980,310","$463,806,492"
cETH,$31.81,$529.53,"$460,742,119"
Convex Finance,$6.15,"$9,960,464","$453,423,224"
Zilliqa,$0.027510857530,"$64,805,471","$442,258,624"
Enjin Coin,$0.440587,"$48,592,845","$441,016,204"
Terra,$2.07,"$54,174,270","$428,799,619"
GALA,$0.055518443420,"$366,647,458","$419,682,626"
Bitcoin,"$23,141.02","$39,115,387,559","$446,059,143,473"
Ethereum,"$1,583.40","$11,243,353,214","$190,861,063,873"
Tether,$1.00,"$48,736,340,945","$67,859,888,222"
USD Coin,$1.00,"$3,218,021,886","$42,914,604,371"
BNB,$309.02,"$780,437,008","$41,721,561,081"
XRP,$0.400977,"$1,299,636,953","$20,387,983,857"
Binance USD,$1.00,"$11,255,979,261","$15,385,014,859"
Cardano,$0.381026,"$392,731,709","$13,357,662,106"
Dogecoin,$0.088203166693,"$1,003,374,179","$12,120,787,608"
Polygon,$1.12,"$584,924,038","$10,069,784,157"
OKB,$37.54,"$31,255,495","$9,254,848,223"
Solana,$24.30,"$1,373,839,986","$9,029,588,899"
Lido Staked Ether,"$1,581.55","$38,305,988","$7,921,219,688"
Polkadot,$6.27,"$257,946,545","$7,521,235,093"
Shiba Inu,$0.000011667194,"$343,918,021","$6,888,113,263"
Litecoin,$92.14,"$882,284,709","$6,656,784,699"
Avalanche,$20.93,"$673,175,875","$6,548,977,099"
TRON,$0.063251535920,"$392,852,591","$5,805,771,989"
Dai,$1.00,"$216,276,623","$5,122,702,512"
