Coin,price,24h_volume,Market_Cap
Bitcoin,"$23,163.31","$39,067,450,079","$446,525,819,561"
Ethereum,"$1,581.73","$11,297,301,890","$190,624,009,516"
Tether,$1.00,"$48,901,731,184","$67,880,265,644"
USD Coin,$1.00,"$3,239,942,853","$42,930,368,831"
BNB,$309.02,"$909,748,074","$41,684,983,952"
XRP,$0.401725,"$1,309,677,185","$20,414,681,410"
Binance USD,$1.00,"$11,384,677,329","$15,378,655,451"
Cardano,$0.380891,"$392,327,627","$13,348,315,870"
Dogecoin,$0.088915922630,"$1,021,263,495","$12,262,786,247"
Polygon,$1.12,"$587,217,784","$10,055,372,898"
OKB,$37.30,"$31,189,415","$9,201,593,295"
Solana,$24.24,"$1,175,100,442","$9,009,533,201"
Lido Staked Ether,"$1,577.83","$38,257,306","$7,907,219,294"
Polkadot,$6.28,"$259,475,919","$7,522,170,373"
Shiba Inu,$0.000011674664,"$347,997,572","$6,879,196,675"
Litecoin,$92.39,"$873,864,771","$6,665,990,331"
Avalanche,$20.94,"$642,581,703","$6,590,432,755"
TRON,$0.063284153620,"$396,077,887","$5,810,449,442"
Dai,$1.00,"$218,605,731","$5,113,366,245"
Uniswap,$6.64,"$123,311,438","$5,003,119,693"
Wrapped Bitcoin,"$23,099.93","$174,862,973","$4,077,491,455"
Cosmos Hub,$13.25,"$200,812,230","$3,874,892,075"
Chainlink,$7.05,"$319,463,200","$3,466,874,218"
Toncoin,$2.35,"$36,689,991","$3,463,235,215"
LEO Token,$3.58,"$738,346","$3,334,489,392"
Monero,$180.21,"$105,893,136","$3,270,783,057"
Ethereum Classic,$21.76,"$257,346,899","$3,032,069,654"
Aptos,$17.05,"$802,705,251","$2,749,757,627"
Bitcoin Cash,$131.85,"$535,366,092","$2,544,437,739"
Stellar,$0.091590786621,"$64,819,812","$2,406,637,731"
ApeCoin,$5.93,"$221,361,198","$2,186,979,045"
Quant,$143.03,"$37,395,490","$2,079,975,648"
NEAR Protocol,$2.38,"$184,011,744","$2,024,254,958"
Cronos,$0.078685703487,"$24,723,478","$1,987,838,005"
Filecoin,$5.15,"$183,879,153","$1,925,734,136"
Algorand,$0.246731,"$92,122,633","$1,776,149,609"
Lido DAO,$2.04,"$126,656,773","$1,712,760,612"
VeChain,$0.023606718814,"$73,232,754","$1,711,846,102"
Internet Computer,$5.87,"$55,277,041","$1,669,408,854"
Hedera,$0.065578720249,"$42,085,899","$1,660,366,001"
Decentraland,$0.749999,"$307,478,431","$1,365,108,511"
Axie Infinity,$11.19,"$173,192,659","$1,287,802,238"
Fantom,$0.477936,"$441,606,886","$1,213,989,686"
EOS,$1.08,"$130,093,054","$1,179,274,548"
The Sandbox,$0.741468,"$271,356,996","$1,176,834,869"
Aave,$82.44,"$97,105,800","$1,174,466,837"
MultiversX,$43.17,"$28,305,474","$1,076,198,851"
Theta Network,$1.04,"$32,226,320","$1,038,041,088"
Flow,$1.00,"$53,941,404","$1,037,323,522"
Frax,$1.00,"$14,334,022","$1,025,048,029"
Terra Luna Classic,$0.000170143417,"$83,403,230","$1,015,290,808"
Tezos,$1.09,"$40,502,502","$1,002,928,327"
Pax Dollar,$1.00,"$1,935,148","$969,269,255"
TrueUSD,$1.00,"$57,140,196","$944,853,641"
Huobi,$5.11,"$9,344,966","$829,618,766"
Bitcoin SV,$42.39,"$20,852,543","$817,160,087"
KuCoin,$8.29,"$1,382,365","$807,006,441"
The Graph,$0.089401853623,"$50,704,205","$790,251,869"
Frax Share,$10.22,"$23,069,449","$748,956,925"
Curve DAO,$1.01,"$76,391,360","$735,447,871"
Chiliz,$0.136335,"$182,160,862","$729,516,577"
Rocket Pool,$37.82,"$8,442,542","$722,717,938"
USDD,$0.992979,"$23,499,582","$720,030,567"
Synthetix Network,$2.29,"$37,415,633","$714,376,838"
Trust Wallet,$1.69,"$127,163,401","$706,000,078"
BitTorrent,$0.000000732152,"$15,635,486","$697,623,505"
eCash,$0.000035785520,"$17,450,368","$690,436,340"
PancakeSwap,$4.01,"$53,166,638","$664,069,910"
Dash,$59.52,"$203,713,799","$661,974,792"
Mina Protocol,$0.779926,"$253,271,344","$641,909,509"
BitDAO,$0.549936,"$20,209,833","$641,011,308"
Klaytn,$0.207151,"$32,050,116","$639,906,492"
IOTA,$0.229192,"$15,838,421","$637,184,102"
Gate,$4.39,"$871,004","$636,839,503"
Zcash,$45.36,"$72,547,503","$588,183,444"
Maker,$651.11,"$19,938,515","$586,856,086"
NEO,$8.28,"$45,872,784","$583,785,644"
cUSDC,$0.022770588733,$2.88,"$581,477,930"
Gemini Dollar,$1.00,"$464,815","$572,868,252"
